"Graph","BudgetMs","Seed","BaselineFinalK","NoPolishFinalK","DeltaK","Status","BaselineExitCode","NoPolishExitCode"
"Automatic-4","20000","7201","16","15","-1","Polish_Harmful","0","0"
"Automatic-7","20000","9109","130","132","2","Polish_Beneficial","0","0"
"Automatic-1","20000","13003","11","10","-1","Polish_Harmful","0","0"
"Automatic-4","20000","15427","13","13","0","Neutral","0","0"
"Automatic-7","60000","1337","114","104","-10","Polish_Harmful","0","0"
"Automatic-1","60000","7201","10","11","1","Polish_Beneficial","0","0"
"Automatic-4","60000","9109","10","10","0","Neutral","0","0"
"Automatic-7","60000","11047","108","105","-3","Polish_Harmful","0","0"
"Automatic-1","60000","15427","11","10","-1","Polish_Harmful","0","0"
"Automatic-4","300000","1337","9","9","0","Neutral","0","0"
"Automatic-7","300000","4242","65","65","0","Neutral","0","0"
"Automatic-1","300000","9109","10","9","-1","Polish_Harmful","0","0"
"Automatic-4","300000","11047","9","9","0","Neutral","0","0"
"Automatic-7","300000","13003","83","72","-11","Polish_Harmful","0","0"
"Automatic-2","20000","4242","5","4","-1","Polish_Harmful","0","0"
"Automatic-5","20000","7201","161","157","-4","Polish_Harmful","0","0"
"Automatic-8","20000","9109","10021","9829","-192","Polish_Harmful","0","0"
"Automatic-2","20000","13003","4","5","1","Polish_Beneficial","0","0"
"Automatic-5","20000","15427","161","161","0","Neutral","0","0"
"Automatic-8","60000","1337","8786","8587","-199","Polish_Harmful","0","0"
"Automatic-2","60000","7201","4","7","3","Polish_Beneficial","0","0"
"Automatic-5","60000","9109","161","161","0","Neutral","0","0"
"Automatic-8","60000","11047","8866","9357","491","Polish_Beneficial","0","0"
"Automatic-2","60000","15427","5","4","-1","Polish_Harmful","0","0"
"Automatic-5","300000","1337","161","143","-18","Polish_Harmful","0","0"
"Automatic-8","300000","4242","8781","8784","3","Polish_Beneficial","0","0"
"Automatic-2","300000","9109","4","4","0","Neutral","0","0"
"Automatic-5","300000","11047","161","148","-13","Polish_Harmful","0","0"
"Automatic-8","300000","13003","9512","8587","-925","Polish_Harmful","0","0"
"Automatic-3","20000","4242","92","88","-4","Polish_Harmful","0","0"
"Automatic-6","20000","7201","1195","1199","4","Polish_Beneficial","0","0"
"Automatic-9","20000","9109","998","916","-82","Polish_Harmful","0","0"
"Automatic-3","20000","13003","100","96","-4","Polish_Harmful","0","0"
"Automatic-6","20000","15427","1221","1221","0","Neutral","0","0"
"Automatic-9","60000","1337","849","848","-1","Polish_Harmful","0","0"
"Automatic-3","60000","7201","95","86","-9","Polish_Harmful","0","0"
"Automatic-6","60000","9109","1204","1199","-5","Polish_Harmful","0","0"
"Automatic-9","60000","11047","883","1045","162","Polish_Beneficial","0","0"
"Automatic-3","60000","15427","90","86","-4","Polish_Harmful","0","0"
"Automatic-6","300000","1337","1186","1218","32","Polish_Beneficial","0","0"
"Automatic-9","300000","4242","782","824","42","Polish_Beneficial","0","0"
"Automatic-3","300000","9109","78","76","-2","Polish_Harmful","0","0"
"Automatic-6","300000","11047","1221","1214","-7","Polish_Harmful","0","0"
"Automatic-9","300000","13003","883","848","-35","Polish_Harmful","0","0"
